الاسم,الصورة,المادة المرتبطة,الملاحظات,السعر,group
airmotor& اير موتور,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00013.png,"periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21), operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21)",تحتاجها علمود تربط الهاندبيس بالجهاز,30000,
periodontal probe& المسبار اللثوي& بيريودينتال بروب,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00014.png,periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21),تقييم صحة اللثة والعظم المحيط بالأسنان وقياس عمق الجيوب اللثوية لتشخيص ومتابعة أمراض اللثة.,,perio instruments
Curette& الكاشطة& كيوريت,"%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00019.png, %D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00020.png",periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21),إزالة الجير واللويحة تحت اللثة.,,perio instruments
Sickle scaler& الكاشطة المنجلية& سكل سكايلر,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00016.png,periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21),إزالة الجير السطحي فوق اللثة,,perio instruments
cumine& كيوماين,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00018.png,periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21),تشبه المجرفة، وتستخدم لإزالة الجير الكثيف من أسطح الأسنان الكبيرة.,,perio instruments
sterilization pouch& كيس التعقيم& بوتش,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00023.png,"periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21), operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21), oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21)",تحط بيه الادوات الي تحتاج تعقيم وتسده تحطه بالاوتو كليف,,
cutton& كطن,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00021.png,"periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21), oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21)",بالبريو تنظف بيها الكرسي والسبت اون  و الاورل تحطها بفم المريض وهم تنضف الكرسي,,
die stone& داي ستون,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/00024.png,prosthodontics (https://www.notion.so/prosthodontics-248252c80c4a8013af78c494631ea702?pvs=21),تخبطه وي الماي و تصبه بالطبعة ورة ماتاخذها,,
cordless LED (light cure)& لايت كيور,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/Dental_Composite_Cordless_Curing_Light_Downward-scaled.jpg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),جهاز الايت كيو ر مهم علمود تصلب  حشوة الكمبوست وكذلك للبوند و الاسد اتش,,composite needs
cellulose (mylar) strip& شريط السيليلوزر& سيليلوزر سترب,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/20250820_132158.jpg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),مثل الماتركس الي يحدد السن و مايخلي الحشوة تلتصق بالسن المجاور (تحطه من البداية),,composite needs
